brand_name,generic_name,year,drug_class,matched_terms,marketed_name_type,scope_status
Sure Comfort,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure Comfort Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure-Ject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Sure-Ject Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Terumo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Terumo Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
True Comfort Pro Ins Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
True Comfort Pro Ins Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Trueplus Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2022,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Trueplus Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2023,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
Trueplus Insulin Syringe,"Syringe-Needle,insulin,0.5 Ml",2024,Excluded non-drug device/supply,insulin,not applicable,excluded_non_drug
